Year,Baseline Cases,Conservative Cases,Ambitious Cases,100% RES2050 Cases
2012,999.963960,1158.265424,1080.081353,1229.618807
2013,982.102055,1123.884390,1052.920782,1149.960605
2014,964.422647,1089.630551,1025.017717,1023.013184
2015,946.837526,1057.762563,997.928252,974.747567
2016,929.652404,1025.894575,970.838786,926.481950
2017,914.467314,994.905560,943.359736,857.154382
2018,899.084309,964.731921,915.862347,790.409473
2019,882.393316,935.360607,888.371133,726.247222
2020,865.901470,906.778564,860.814507,665.958959
2021,849.674076,878.972743,833.505277,605.670696
2022,834.183776,851.930091,806.179661,549.256421
2023,819.141418,825.637557,778.958269,495.424805
2024,804.521834,800.082089,751.865615,444.175847
2025,790.486075,775.606117,725.015092,396.800877
2026,776.450315,751.130145,698.164569,349.425907
2027,762.948043,727.707566,671.605203,305.924925
2028,749.767872,704.969847,645.272624,265.006602
2029,736.884633,682.903936,619.191346,226.670937
2030,724.396457,661.819634,593.536043,192.209260
2031,711.908281,640.735331,567.880740,157.747583
2032,699.764831,620.606535,542.700439,127.159893
2033,687.817640,601.097340,517.869488,99.154863
2034,676.041541,582.194696,493.412400,73.732491
2035,663.478264,564.175773,469.565133,52.184106
2036,650.914987,546.156850,445.717866,30.635722
2037,637.984196,528.995547,422.529444,12.961326
2038,624.969765,512.388586,399.812937,0.000000
2039,610.268298,496.322918,377.592855,0.000000
2040,594.958631,481.043085,356.663809,0.000000
2041,581.982318,465.763252,334.740023,0.000000
2042,568.127467,451.243151,314.156296,0.000000
2043,554.063136,437.212135,294.167047,0.000000
2044,539.764156,423.657154,274.796787,0.000000
2045,525.220198,410.790120,257.774495,0.000000
2046,510.361576,397.923086,238.011286,0.000000
2047,495.207640,385.717897,220.645070,0.000000
2048,479.718382,373.936536,203.995895,0.000000
2049,463.868633,362.565951,188.088271,0.000000
2050,442.714484,351.785426,172.883613,0.000000
2051,429.799332,341.004902,158.595733,0.000000
2052,416.439547,330.788335,145.059843,0.000000
2053,402.618599,320.930338,132.363556,0.000000
2054,388.311319,311.417860,120.531385,0.000000
2055,373.460424,302.397554,110.008983,0.000000
2056,358.137093,293.377249,97.903526,0.000000
2057,342.219809,284.736715,86.806416,0.000000
2058,325.715522,277.290580,76.334289,0.000000
2059,308.599062,269.196377,66.787038,0.000000
2060,292.721843,260.966807,56.287047,0.000000
