Year,China,India,EU,USA
2012,185.42857142857144,116.30328783871184,239.73886319020514,228.87370365
2013,191.57142857142858,129.3274658790339,240.02663764265384,231.39567795000002
2014,197.71428571428572,142.35164391935592,240.31441209510257,234.416604
2015,203.85714285714286,155.37582195967795,240.6021865475513,237.78226035
2016,210.0,168.4,240.889961,242.05510170000002
2017,213.7329411764706,136.32432432432432,241.17773545244873,242.93507115
2018,223.8458823529412,143.40540540540542,241.46550990489743,138.05405405405403
2019,233.95882352941177,150.4864864864865,179.10810810810813,139.86486486486484
2020,244.07176470588237,157.5675675675676,180.45945945945948,141.67567567567565
2021,254.18470588235294,164.6486486486487,181.81081081081084,143.48648648648646
2022,264.29764705882354,171.7297297297298,183.1621621621622,145.29729729729726
2023,274.41058823529414,178.8108108108109,184.51351351351354,147.10810810810807
2024,284.5235294117647,185.891891891892,185.8648648648649,148.91891891891888
2025,294.6364705882353,192.97297297297308,187.21621621621625,150.72972972972968
2026,304.7494117647059,200.05405405405418,188.5675675675676,152.5405405405405
2027,314.8623529411765,207.13513513513527,189.91891891891896,154.3513513513513
2028,324.9752941176471,214.21621621621637,191.27027027027032,156.1621621621621
2029,335.0882352941177,221.29729729729746,192.62162162162167,157.9729729729729
2030,345.2011764705883,228.37837837837856,193.97297297297303,159.78378378378372
2031,355.3141176470589,235.45945945945965,195.32432432432438,161.59459459459453
2032,365.4270588235294,242.54054054054075,196.67567567567573,163.40540540540533
2033,375.54,249.62162162162184,198.0270270270271,165.21621621621614
2034,385.65294117647056,256.70270270270294,199.37837837837844,167.02702702702695
2035,395.76588235294116,263.78378378378403,200.7297297297298,168.83783783783775
2036,405.87882352941176,270.8648648648651,202.08108108108115,170.64864864864856
2037,415.99176470588236,277.9459459459462,203.4324324324325,172.45945945945937
2038,426.10470588235296,285.0270270270273,204.78378378378386,174.27027027027017
2039,436.21764705882356,292.1081081081084,206.13513513513522,176.08108108108098
2040,446.33058823529416,299.1891891891895,207.48648648648657,177.8918918918918
2041,456.44352941176476,306.2702702702706,208.83783783783792,179.7027027027026
2042,466.55647058823536,313.3513513513517,210.18918918918928,181.5135135135134
2043,476.66941176470596,320.4324324324328,211.54054054054063,183.3243243243242
2044,486.78235294117644,327.5135135135139,212.891891891892,185.13513513513502
2045,496.89529411764704,334.594594594595,214.24324324324334,186.94594594594582
2046,507.00823529411764,341.6756756756761,215.5945945945947,188.75675675675663
2047,517.1211764705882,348.7567567567571,216.94594594594605,190.56756756756744
2048,527.2341176470588,355.83783783783826,218.2972972972974,192.37837837837824
2049,537.3470588235294,362.9189189189193,219.64864864864876,194.18918918918905
2050,547.46,370.00000000000045,221.0000000000001,195.99999999999983
2051,557.5729411764706,377.0810810810815,222.35135135135147,197.81081081081066
2052,567.6858823529412,384.16216216216264,223.70270270270282,199.62162162162144
2053,577.7988235294118,391.2432432432437,225.05405405405418,201.43243243243228
2054,587.9117647058823,398.32432432432483,226.40540540540553,203.24324324324306
2055,598.0247058823529,405.4054054054059,227.75675675675686,205.0540540540539
2056,608.1376470588235,412.486486486487,229.1081081081082,206.86486486486467
2057,618.2505882352941,419.56756756756806,230.45945945945957,208.6756756756755
2058,628.3635294117647,426.6486486486492,231.81081081081092,210.48648648648629
2059,638.4764705882353,433.72972972973025,233.16216216216228,212.29729729729712
2060,648.5894117647059,440.8108108108114,234.51351351351363,214.1081081081079
