year, Based on IEA (2016) ETP 6DS/4DS Projection of Air Travel + Telepresence Adjustment, Based on ICCT (2012) Base Scenario + Telepresence Adjustment, [Source 3 - Base], [Source 1 - Conservative], [Source 2 - Conservative], [Source 3 - Conservative], Based on IEA (2016) ETP 2DS Projection of Air Travel + Telepresence Adjustment,
2012,5574.07568254,5200.86847315,,,,,5571.07447361,
2013,5807.04228339,5421.79704779,,,,,5807.04228339,
2014,6050.43500371,5669.07222811,,,,,6042.11147988,
2015,6309.24299662,5846.66230472,,,,,6274.54348793,
2016,6581.44770975,6167.08142500,,,,,6504.98156340,
2017,6866.78251708,6433.14155983,,,,,6733.47350442,
2018,7164.98079259,6711.16903071,,,,,6960.06710910,
2019,7475.77591027,7001.59148268,,,,,7184.81017555,
2020,7791.88125740,7100.85791439,,,,,7416.42391799,
2021,8134.09016810,7621.56558362,,,,,7628.93588624,
2022,8481.07605622,7952.27037581,,,,,7848.41412670,
2023,8839.59228247,8297.62937954,,,,,8066.23302141,
2024,9209.37222083,8658.33048906,,,,,8282.44036846,
2025,9594.65979339,8693.55226744,,,,,8475.45387885,
2026,9981.65672983,9428.61719571,,,,,8710.21161209,
2027,10383.62804845,9839.66147462,,,,,8921.87110489,
2028,10795.79657513,10269.01455334,,,,,9132.11024251,
2029,11217.89568386,10717.51064560,,,,,9340.97682305,
2030,11654.73145488,10958.82285941,,,,,9564.17501237,
2031,12090.81914342,11675.45307236,,,,,9754.78350539,
2032,12541.11024223,12186.75295997,,,,,9959.81920341,
2033,13000.26541903,12720.92403455,,,,,10163.67353682,
2034,13468.01804783,13279.01946579,,,,,10366.39430374,
2035,13944.43082061,13472.40428576,,,,,10573.61717217,
2036,14428.24915734,14471.40953843,,,,,10768.62633055,
2037,14920.19438603,15108.01942096,,,,,10968.23318667,
2038,15419.67056265,15773.21721398,,,,,11166.89766877,
2039,15926.41106121,16468.31328244,,,,,11364.66757494,
2040,16427.43376700,17445.21183786,,,,,11551.18895677,
2041,16960.61852006,17953.69642069,,,,,11757.71485200,
2042,17487.55222832,18746.85406987,,,,,11953.08781912,
2043,18020.68375447,19575.64353138,,,,,12147.75740277,
2044,18559.74647248,20441.61636406,,,,,12341.77140109,
2045,19115.22887916,22053.03287667,,,,,12537.10835112,
2046,19654.59898005,22291.68264895,,,,,12728.02383417,
2047,20209.85551758,23279.27196011,,,,,12920.35786515,
2048,20769.97674294,24311.01262260,,,,,13112.22750326,
2049,21334.69603010,25388.83200132,,,,,13303.68054661,
2050,21901.06260686,27040.03887711,,,,,13495.54369207,
2051,22476.86228578,27690.84408264,,,,,13685.52804147,
2052,23053.77600228,28919.33859412,,,,,13876.01808921,
2053,23634.22127654,30202.42579537,,,,,14066.28273466,
2054,24217.93148254,31542.36972831,,,,,14256.36977591,
2055,24804.63999427,32941.56041922,,,,,14446.32701110,
2056,25394.08018573,34402.55602758,,,,,14636.20223833,
2057,25985.98543089,35928.08747127,,,,,14826.04325572,
2058,26580.08910374,37521.01741371,,,,,15015.89786138,
2059,27176.12457828,39184.37087927,,,,,15205.81385344,
2060,27773.82522849,40921.31386055,,,,,15395.83902999,
